date,day_of_week,day_type,holiday
1/1/92,Wednesday,National Holiday,New Year's Day
1/2/92,Thursday,Non-Holiday Weekday,
1/3/92,Friday,Non-Holiday Weekday,
1/4/92,Saturday,Non-Holiday Weekend,
1/5/92,Sunday,Non-Holiday Weekend,
1/6/92,Monday,Non-Holiday Weekday,
1/7/92,Tuesday,Non-Holiday Weekday,
1/8/92,Wednesday,Non-Holiday Weekday,
1/9/92,Thursday,Non-Holiday Weekday,
1/10/92,Friday,Non-Holiday Weekday,
1/11/92,Saturday,Non-Holiday Weekend,
1/12/92,Sunday,Non-Holiday Weekend,
1/13/92,Monday,Non-Holiday Weekday,
1/14/92,Tuesday,Non-Holiday Weekday,
1/15/92,Wednesday,Non-Holiday Weekday,
1/16/92,Thursday,Non-Holiday Weekday,
1/17/92,Friday,Non-Holiday Weekday,
1/18/92,Saturday,Non-Holiday Weekend,
1/19/92,Sunday,Non-Holiday Weekend,
1/20/92,Monday,National Holiday,MLK Day
1/21/92,Tuesday,Non-Holiday Weekday,
1/22/92,Wednesday,Non-Holiday Weekday,
1/23/92,Thursday,Non-Holiday Weekday,
1/24/92,Friday,Non-Holiday Weekday,
1/25/92,Saturday,Non-Holiday Weekend,
1/26/92,Sunday,Non-Holiday Weekend,
1/27/92,Monday,Non-Holiday Weekday,
1/28/92,Tuesday,Non-Holiday Weekday,
1/29/92,Wednesday,Non-Holiday Weekday,
1/30/92,Thursday,Non-Holiday Weekday,
1/31/92,Friday,Non-Holiday Weekday,
2/1/92,Saturday,Non-Holiday Weekend,
2/2/92,Sunday,Party Holiday,Super Bowl Sunday
2/3/92,Monday,Non-Holiday Weekday,
2/4/92,Tuesday,Non-Holiday Weekday,
2/5/92,Wednesday,Non-Holiday Weekday,
2/6/92,Thursday,Non-Holiday Weekday,
2/7/92,Friday,Non-Holiday Weekday,
2/8/92,Saturday,Non-Holiday Weekend,
2/9/92,Sunday,Non-Holiday Weekend,
2/10/92,Monday,Non-Holiday Weekday,
2/11/92,Tuesday,Non-Holiday Weekday,
2/12/92,Wednesday,Non-Holiday Weekday,
2/13/92,Thursday,Non-Holiday Weekday,
2/14/92,Friday,Non-Holiday Weekday,
2/15/92,Saturday,Non-Holiday Weekend,
2/16/92,Sunday,Non-Holiday Weekend,
2/17/92,Monday,National Holiday,President's Day
2/18/92,Tuesday,Non-Holiday Weekday,
2/19/92,Wednesday,Non-Holiday Weekday,
2/20/92,Thursday,Non-Holiday Weekday,
2/21/92,Friday,Non-Holiday Weekday,
2/22/92,Saturday,Non-Holiday Weekend,
2/23/92,Sunday,Non-Holiday Weekend,
2/24/92,Monday,Non-Holiday Weekday,
2/25/92,Tuesday,Non-Holiday Weekday,
2/26/92,Wednesday,Non-Holiday Weekday,
2/27/92,Thursday,Non-Holiday Weekday,
2/28/92,Friday,Non-Holiday Weekday,
2/29/92,Saturday,Non-Holiday Weekend,
3/1/92,Sunday,Non-Holiday Weekend,
3/2/92,Monday,Non-Holiday Weekday,
3/3/92,Tuesday,Party Holiday,Mardi Gras
3/4/92,Wednesday,Non-Holiday Weekday,
3/5/92,Thursday,Non-Holiday Weekday,
3/6/92,Friday,Non-Holiday Weekday,
3/7/92,Saturday,Non-Holiday Weekend,
3/8/92,Sunday,Non-Holiday Weekend,
3/9/92,Monday,Non-Holiday Weekday,
3/10/92,Tuesday,Non-Holiday Weekday,
3/11/92,Wednesday,Non-Holiday Weekday,
3/12/92,Thursday,Non-Holiday Weekday,
3/13/92,Friday,Non-Holiday Weekday,
3/14/92,Saturday,Non-Holiday Weekend,
3/15/92,Sunday,Non-Holiday Weekend,
3/16/92,Monday,Non-Holiday Weekday,
3/17/92,Tuesday,Party Holiday,St. Patty's Day
3/18/92,Wednesday,Non-Holiday Weekday,
3/19/92,Thursday,Non-Holiday Weekday,
3/20/92,Friday,Non-Holiday Weekday,
3/21/92,Saturday,Non-Holiday Weekend,
3/22/92,Sunday,Non-Holiday Weekend,
3/23/92,Monday,Non-Holiday Weekday,
3/24/92,Tuesday,Non-Holiday Weekday,
3/25/92,Wednesday,Non-Holiday Weekday,
3/26/92,Thursday,Non-Holiday Weekday,
3/27/92,Friday,Non-Holiday Weekday,
3/28/92,Saturday,Non-Holiday Weekend,
3/29/92,Sunday,Non-Holiday Weekend,
3/30/92,Monday,Non-Holiday Weekday,
3/31/92,Tuesday,Non-Holiday Weekday,
4/1/92,Wednesday,Non-Holiday Weekday,
4/2/92,Thursday,Non-Holiday Weekday,
4/3/92,Friday,Non-Holiday Weekday,
4/4/92,Saturday,Non-Holiday Weekend,
4/5/92,Sunday,Non-Holiday Weekend,
4/6/92,Monday,Non-Holiday Weekday,
4/7/92,Tuesday,Non-Holiday Weekday,
4/8/92,Wednesday,Non-Holiday Weekday,
4/9/92,Thursday,Non-Holiday Weekday,
4/10/92,Friday,Non-Holiday Weekday,
4/11/92,Saturday,Non-Holiday Weekend,
4/12/92,Sunday,Non-Holiday Weekend,
4/13/92,Monday,Non-Holiday Weekday,
4/14/92,Tuesday,Non-Holiday Weekday,
4/15/92,Wednesday,Non-Holiday Weekday,
4/16/92,Thursday,Non-Holiday Weekday,
4/17/92,Friday,Non-Holiday Weekday,
4/18/92,Saturday,Non-Holiday Weekend,
4/19/92,Sunday,Non-Holiday Weekend,
4/20/92,Monday,Party Holiday,420
4/21/92,Tuesday,Non-Holiday Weekday,
4/22/92,Wednesday,Non-Holiday Weekday,
4/23/92,Thursday,Non-Holiday Weekday,
4/24/92,Friday,Non-Holiday Weekday,
4/25/92,Saturday,Non-Holiday Weekend,
4/26/92,Sunday,Non-Holiday Weekend,
4/27/92,Monday,Non-Holiday Weekday,
4/28/92,Tuesday,Non-Holiday Weekday,
4/29/92,Wednesday,Non-Holiday Weekday,
4/30/92,Thursday,Non-Holiday Weekday,
5/1/92,Friday,Non-Holiday Weekday,
