"year","nominal_gbp_millions","gia_gbp_millions","voluntary_gbp_millions","investment_gbp_millions","services_gbp_millions","other_gbp_millions","year_2000_gbp_millions","inflation_adjustment","total_y2000_gbp_millions","percentage_of_y2000_income","gia_y2000_gbp_millions","voluntary_y2000_gbp_millions","investment_y2000_gbp_millions","services_y2000_gbp_millions","other_y2000_gbp_millions","gia_as_percent_of_peak_gia"
2023,151.8,127.8,8.2,3,12.8,0,NA,1818796.76,83.4617717264902,0.757366349605174,70.266234694634,4.50847515255085,1.64944212898202,7.03761975032328,0,0.743018809389617
2022,147.6,116.5,14.9,0.8,15.6,0,NA,1674338.62,88.1542110042233,0.799947468277888,69.579712615122,8.89903620571089,0.477800601648907,9.31711173215368,0,0.735759293914574
2021,141.4,110.412,20.086,0.08,9.753,1.042,NA,1534702.63,92.1351128459329,0.836071804409555,71.9435790632613,13.0878774867285,0.052127362289071,6.35497705506636,0.678958893815149,0.760755613149346
2020,125.9,108.226,9.524,0.196,7.584,0.383,NA,1495983.26,84.158695732999,0.763690523892913,72.3443924098456,6.36638139921432,0.131017508845654,5.06957544431346,0.256018907591252,0.764993948344917
2019,121.1,96.899,8.626,0.426,13.249,1.925,NA,1483364.96,81.6387087908562,0.740823128773649,65.3237757483499,5.81515691189038,0.287184888066926,8.93171967605329,1.29772513973904,0.690755585414624
2018,122.2,93.443,10.754,0.332,14.558,3.116,NA,1457265.04,83.8557137142328,0.760941140782512,64.1221723125946,7.37957729364042,0.227824033986295,9.98994664690508,2.13825207801595,0.678049426360087
2017,120.8,93.443,9.634,0.269,16.152,1.328,NA,1422026.43,84.9491946503414,0.770863835302553,65.7111555936411,6.77483891772673,0.189166666895214,11.3584386754331,0.933878563705739,0.694851870247313
2016,118,93.911,9.672,0.649,13.78,0,76.39,1384868.58,85.2066410518173,0.773200009544622,67.8122107442137,6.9840562055354,0.468636525784995,9.95040265842409,0,0.717069134388828
2015,117.8,93.043,9.919,1.003,13.799,0,77.59,1375792.94,85.6233496880715,0.776981394628598,67.6286360358849,7.20966048859067,0.729034123405227,10.0298523119329,0,0.715127953652315
2014,118.9,93.893,8.931,0.707,15.352,0,79.09,1375241.48,86.4575434417525,0.784551210905195,68.2738278080443,6.49413221596545,0.51409153249217,11.16313041983,0,0.721950428550269
2013,124.7,95.106,14.993,0.623,13.98,0,84.9,1355438.1,91.9997748329488,0.834843691769046,70.1662436669,11.0613682764266,0.4596299897428,10.3140084375672,0,0.7419614706166
2012,126.1,103.868,6.265,0.62,15.349,0,88.46,1321543.18,95.4187512813618,0.865868886400743,78.5959941165146,4.74066991893523,0.469148499559432,11.6144521286092,0,0.831100488378748
2011,140.1,101.873,6.738,0.531,17.619,13.339,101.44,1285194.76,109.010715231986,0.989207942214025,79.2665852450254,5.242785147988,0.413166950665127,13.709206221787,10.37897166652,0.838191544617334
2010,137.9,105.847,11.774,0.415,19.906,0,105.05,1230278.88,112.08840714229,1.01713618096452,86.0349646902823,9.57018785854472,0.337321892415157,16.1800713022075,0,0.90976266634838
2009,142.2,109.464,9.616,0.418,22.674,0,113.32,1190997.74,119.395692556058,1.08344548598964,91.9094943034904,8.07390281026058,0.350966241128216,19.0378195008162,0,0.971881919185807
2008,140.5,106.947,7.993,1.492,24.03,0,111.37,1165755.4,120.522709995596,1.09367250449724,91.7405143480356,6.85649837006974,1.27985682073615,20.6132435672183,0,0.97009506827714
2007,141.2,106.411,9.789,1.878,23.076,0,116.39,1125225.72,125.485933613391,1.13871083133749,94.5685813154004,8.6995878480275,1.66899846548122,20.5078852978938,0,1
2006,159.2,102.639,31.879,1.904,22.768,0,136.85,1099681.85,144.769143911941,1.31369459085246,93.3351768968452,28.989293585231,1.73140986186141,20.7041700288133,0,0.986957566652696
2005,136.9,97.562,10.663,1.77,24.309,2.602,121.44,1074656.2,127.389578173931,1.15598528288504,90.7843829496354,9.9222430392157,1.64703837376084,22.6202575298035,2.4212394624439,0.959984613143935
2004,121.6,88.501,6.399,1.586,24.52,0,110.92,1052996.65,115.479949532603,1.04791242770057,84.04680109856,6.07694241002571,1.50617763123938,23.2859240340413,0,0.888739155536777
2003,119.5,89.263,4.004,0.856,25.423,0,112.25,1039036.95,115.01034684089,1.04365106026216,85.9093605862621,3.85356844143031,0.823839806659426,24.4678497718488,0,0.908434486288226
2002,119.2,85.187,6.162,0.795,27.068,0,115.2,1025079.54,116.283659314866,1.05520561991712,83.1028195138886,6.01124084478362,0.775549573450661,26.4057557913994,0,0.878757176622204
2001,120.9,88.617,3.283,0.71,28.29,0,118.8,1012335.12,119.426855407328,1.08372827048392,87.5372179125822,3.24299723988633,0.701348778653456,27.945291476206,0,0.925647997410814
2000,110.2,82.266,2.852,0.654,24.491,0,110.2,1e+06,110.2,1,82.266,2.852,0.654,24.491,0,0.869908365502815
1999,112.3,78.465,4.944,0.455,28.468,0,115.62,992098.37,113.194420428289,1.02717259916777,79.0899394381628,4.98337679962119,0.45862387617873,28.6947351803431,0,0.836323632416415
1998,120.459,80.45,8.487,0.474,31.048,0,NA,979089.11,123.031702395301,1.11644013062886,82.1682104093671,8.66826105337848,0.484123452256557,31.7111074802987,0,0.868874305466461
